ID,브랜드명,팝업스토어명,카테고리,세부카테고리,시작일,종료일,운영일수,위치,구역,원산지(원본),원산지(정제),콜라보,설명,연도,출처
1688,롯데백화점,LTM Pop-up (롯데타운 명동 아트 페스타),아트/전시,,2025-04-25,2025-04-27,,성동구 연무장길 (MM성수),성수 아트/문화,한국,국내,,"롯데타운 명동 아트 페스타 사전 팝업. 호주 출신 아티스트 브롤가(Brolga)와 협업한 '스티지(STEEZY)' 캐릭터 활용. 7개 미션 섹션(LBTI 테스트, DIY 법랑컵, 포토부스, 스크린 체험 등), 한국후지필름 아티스트 라이브 이벤트(인스탁스 즉석 드로잉). 시시호호 한정판 굿즈 판매.",2025,"['https://www.news1.kr/industry/distribution/5760267', 'https://mobile.newsis.com/view_amp.html?ar_id=NISX20250421_0003147706', 'https://tidrental.com/?p=6491']"
1689,아틀리에 노마드,아틀리에 노마드 in 성수,아트/전시,,2025-04-01,2025-05-31,,성동구 성수동 구옥,성수 아트/문화,한국,국내,,"프로젝트 아트 그룹 아틀리에 노마드의 단체전. 성수동 구옥에서 진행된 팝업스토어 형식의 전시. 우승연, 이정은, EJ은정, 김희경 4명 작가 참여. 라이브 페인팅, 한정판 굿즈 판매. 젊은 세대의 일상적 아트 컬렉팅 경험 제공.",2025,['http://www.editbiznews.co.kr/news/482004']
1690,넷플릭스,오징어게임: 더 익스피리언스 팝업스토어,엔터테인먼트,,2025-02-28,2025-06-25,,성동구 연무장15길 11 (에스팩토리 D동),성수 아트/문화,글로벌,해외(기타),,"넷플릭스 오징어게임 공식 팝업스토어. 드라마 속 6가지 게임(무궁화꽃, 줄다리기, 구슬치기, 본탈찾기, 유리다리 건사이, 둥글게 둥글게)을 직접 체험. 공식 한정 굿즈(티셔츠, 핀배지, 가방, 머그컵, 노트, 피규어) 판매. 번호표 배경, 계단 묘대 등 포토존. 팝업스토어 자체 묘료, 체험존 유료 사전예약제.",2025,"['https://popga.co.kr/popup/1598', 'https://doongx2.tistory.com/38', 'https://blog.naver.com/jhbluesss/223887575939']"
1691,롯데칠성음료,새로중앙박물관,문화/체험,,2025-01-01,2025-02-28,,성동구 성수동,성수 아트/문화,한국,국내,,"제로 슈거 소주 '새로' 출시 기념 팝업. 새로구미의 탄생지 동굴에서 시작한 세계관이 박물관과 방탈출 콘셉트로 확장. 침착맨 협업 콜라보잔, 아우프글렛 협업 '비법서 모양 디저트' 등 다양한 브랜드 협업 제품.",2025,['https://heypop.kr/n/134994/']
1692,조선일보,디 온리 팝업스토어,아트/전시,,2025-01-01,2025-12-31,,성동구 성수동,성수 아트/문화,한국,국내,,조선일보 디 온리 팝업스토어. 아트 콘텐츠와 문화 상품을 선보이는 팝업. 성수에서 진행.,2025,['https://blog.naver.com/ddowassoyo/223900542403']
1693,뮤지엄오브디스커버리,M.O.D 팝업스토어,아트/전시,,2025-01-01,2025-12-31,,성동구 성수동,성수 아트/문화,한국,국내,,뮤지엄오브디스커버리(M.O.D) 팝업스토어. 패션과 아트의 결합을 주제로 한 팝업. 성수에서 진행.,2025,['https://blog.naver.com/ddowassoyo/223900542403']
1694,타이거밤,타이거밤 성수 팝업,기타,,2025-01-01,2025-12-31,,성동구 성수동,성수 아트/문화,싱가포르,싱가포르,,타이거밤의 성수 팝업스토어. 허브 제품과 라이프스타일 아이템 판매. 성수에서 진행된 뷰티 팝업.,2025,['https://blog.naver.com/ddowassoyo/223900542403']
1695,디파인 서울,디파인 서울 2024 (DEFINE SEOUL),아트페어,,2024-10-30,2024-11-03,,"성동구 에스팩토리, Y173",성수 아트/문화,한국,국내,,프리미엄 디자인&아트 페어. 성수동 상가와 공장 개조한 공간에서 진행. 디자인과 현대미술의 만남을 주제로 한 전시 및 팝업 행사.,2024,"['https://blog.naver.com/designpress2016/223636573089', 'https://www.arte.co.kr/art/news/6504']"
1696,성동문화재단,2024 성수 아트페어 ART FLOW,아트페어,,2024-10-05,2024-10-13,,"성동구 언더스탠드에비뉴, 성수동지식산업센터",성수 아트/문화,한국,국내,,"2024 크리에이티브X성수 프로그램의 일환. 'Around S.A.F in a Day' 주제로 그래피티아트월, 아티스트 아트페어, 특별초대전, 디지털미디어 특별전, 특별민화전 등 다양한 전시. 공예, 가구디자인, 회화, 팝아트, 리사이클 등 다양한 분야 선보임.",2024,"['https://www.creativexseongsu.co.kr/art_s', 'https://www.creativexseongsu.co.kr/50/']"
1697,더프리뷰,더프리뷰 성수 WITH 신한카드,아트/전시,,2024-10-01,2024-10-13,,성동구 연무장15길 11 (에스팩토리 D동),성수 아트/문화,한국,국내,,2024년 하반기 미술주간의 시작을 알리는 더프리뷰 성수. '함성-함께 성장' 슬로건. 최고의 작가와 작품들을 선보이는 아트 전시 팝업. 신한카드와 협업.,2024,['https://popply.co.kr/popup/2118']
1698,2024 한돈데이,2024 한돈데이 팝업스토어,문화/체험,,2024-10-01,2024-10-15,,성동구 성수동 (봄의정원 성수점 인근),성수 아트/문화,한국,국내,,2024 한돈데이 기념 팝업스토어. 한돈 소비 촉진을 위한 문화 행사. 성수 봄의정원 일대에서 진행.,2024,['https://popply.co.kr/popup/2291']
1699,문화체육관광부,2024 월드 웹툰 페스티벌,기타,,2024-09-26,2024-09-29,,성동구 에스팩토리 D동 및 성수동 일대,성수 아트/문화,한국,국내,,"문천부와 서울시 주최, 한국콘텐츠진흥원과 서울경제진흥원 주관. 16개 웹툰 기업 참여. 외모지상주의, 나 혼자만 레벨업, 전지적 독자 시점, 데뷔 못하면 죽는 병 걸림 등 인기 웹툰 IP 팝업스토어. 월드 웹툰 어워즈, 스페셜세션, 토크콘서트, 더빙쇼, 드로잉쇼 등 부대행사.",2024,"['https://www.bandinews.com/news/articleView.html?idxno=389', 'https://lady.khan.co.kr/travel/article/202512021118011', 'https://popga.co.kr/popup/528']"
1700,크림스토어,2024 월드 웹툰 페스티벌 크림스토어,기타,,2024-09-26,2024-09-29,,성동구 에스팩토리 D동,성수 아트/문화,한국,국내,,한국콘텐츠진흥원 운영. 캐릭터 IP 가치 상승과 중소 캐릭터 기업 유통 지원을 위한 크림스토어. 다양한 웹툰 IP 캐릭터 굿즈 판매.,2024,['https://www.bandinews.com/news/articleView.html?idxno=389']
1701,성동문화재단,2024 크리에이티브X성수,문화/체험,,2024-09-01,2024-09-30,,성동구 성수동 전역,성수 아트/문화,한국,국내,,"성수동을 예술과 산업이 교차하는 실험묘대로 탈바꿈시킨 축제. CT페어, 체인지메이커 컨퍼런스, 플레이성수, 성수아트페어, 뮤직성수, 패션성수 등 다양한 프로그램. 에스팩토리, KT&G 상상플래닛 등에서 진행.",2024,"['https://www.creativexseongsu.co.kr/50/', 'https://www.creativexseongsu.co.kr/159']"
1702,게토레이,게토레이 제로 출시 기념 팝업,문화/체험,,2024-05-18,2024-05-25,,성동구 성수동,성수 아트/문화,글로벌,해외(기타),,게토레이 제로 출시 기념 팝업스토어. 성수에서 일주일간 진행. 신제품 체험 및 체험형 프로그램 운영.,2024,['https://www.tourtoctoc.com/news/articleView.html?idxno=4856']
1703,괌정부관광청,컬러 오브 괌 (COLOR OF GUAM),아트/전시,,2024-05-01,2024-05-19,,성동구 성수동 (갤러리 더 봄),성수 아트/문화,괌(한국 진출),괌(한국 진출),,"미디어아트 전문 아티스트그룹 JD-ART 기획. 괌의 핫한 비치 바를 옮겨놓은 듯한 외관, 옛차모로인 사진·공예품 전시, 야시장 분위기. 미디어아트로 괌의 에메랄드 핫Res핫장, 붉은 노을, 별빛 하늘 재현. 퀴즈, 인생네컷, SNS 해시태그 이벤트, 2인 괌 항공권 추첨.",2024,['https://www.jd-art.co.kr/post/성수동-팝업스토어-괌-탕기슨-비치를-미디어아트로']
1704,서울시,2024 서울라이프 팝업스토어,문화/체험,,2024-02-01,2024-02-04,,성동구 연무장5길 20 (성수 쎈느),성수 아트/문화,한국,국내,,"서울시의 첫 팝업스토어. '서울 라이프' 컨셉으로 서울의 도시 브랜드 'SEOUL, MY SOUL' 키 컬러와 픽토그램을 활용한 굿즈 전시 및 판매. 서울라이트존(2층), 서울나이트존(1층 LED 전시), 서울라면 시식 야외공간 구성. 서울시 홍볼대사 홍현희·제이쓴 부부 참석.",2024,"['https://www.efnews.co.kr/news/articleView.html?idxno=109668', 'https://heypop.kr/n/89117/', 'https://mediahub.seoul.go.kr/archives/2010177']"
1705,이슬로 작가,이슬로 작가 개인전 'THE PRESENT',아트/전시,,2024-01-27,2024-02-24,,성동구 성수동,성수 아트/문화,한국,국내,,이슬로 작가의 개인전 'THE PRESENT'. 성수동에서 진행된 아트 전시 팝업. 현대미술 작가의 개인전.,2024,['https://blog.naver.com/dedotz1/223344786267']
1706,아트업서울,아트업서울 팝업 프로그램,아트/전시,,2024-01-01,2025-12-31,,성동구 성수동2가 (프로젝트 스페이스 큐 등),성수 아트/문화,한국,국내,,"성수동 힙한 팝업 쇼룸 공간 대관. 개인전, 단체전, 브랜드 팝업, 촬영 등 다목적 활용. 성수동2가에 위치한 프로젝트 스페이스 큐 등에서 다양한 아트 팝업 프로그램 운영.",2024,['https://www.spacecloud.kr/space/73663']
1707,프린트베이커리,ART FOR FOODIES 팝업,아트/전시,,2024-01-01,2024-12-31,,성동구 성수일로10길 13 (VERTAK 베르탁),성수 아트/문화,한국,국내,,프린트베이커리가 큐레이션한 작품과 브랜드 스토리를 담은 팝업. 아트와 푸드의 결합 콘셉트. 성수일로 10길 베르탁에서 운영.,2024,['https://dayforyou.com/getDetail?scheduleSeq=3338']
1708,봉례비어,봉례비어 성수 팝업,문화/체험,,2024-01-01,2024-12-31,,성동구 성수동,성수 아트/문화,한국,국내,,성수동에서 운영된 봉례비어 팝업스토어. 수제 맥주와 문화 체험 공간. 성수의 감성을 담은 F&B 팝업.,2024,['https://blog.naver.com/ddowassoyo/223900542403']
1709,체리곤듀,체리곤듀 팝업스토어,패션/문화,,2024-01-01,2025-12-31,,성동구 성수동,성수 아트/문화,한국,국내,,"패션 브랜드 체리곤듀의 성수 팝업스토어. 복숭아 향이 가득한 공간, 체험존 운영. 제품 체험 및 한정판 굿즈 판매.",2024,['https://popga.co.kr/']
1710,ARTIST KOMMAND,아티스트 코맨드 성수 팝업,패션/문화,,2024-01-01,2024-12-31,,성동구 성수동,성수 아트/문화,한국,국내,,ARTIST KOMMAND의 성수 팝업. 패션과 아트의 결합을 선보이는 브랜드 팝업스토어. 성수에서 진행.,2024,['https://blog.naver.com/dedotz1/223344786267']
1711,볼보,볼보 EX30 팝업스토어,기타,,2024-01-01,2024-12-31,,성동구 연무장3길 9 (피치스 도원),성수 아트/문화,스웨덴,스웨덴,,볼보 EX30 전기차 팝업스토어. 전기차 브랜드의 체험형 팝업. 피치스 도원에서 진행.,2024,['https://heypop.kr/place/113481/']
1712,반스 x 피치스,반스 x 피치스 '스티커 바밍' 팝업,패션/문화,,2024-01-01,2024-12-31,,성동구 연무장3길 9 (피치스 도원),성수 아트/문화,미국,미국,,반스와 피치스의 콜라보 팝업 '스티커 바밍'. 스트리트 문화 브랜드의 만남. 피치스 도원에서 진행.,2024,['https://heypop.kr/place/113481/']
1713,민들레마음,맛있는 상상 팝업페어,아트/소셜,,2023-12-19,2023-12-30,,성동구 아차산로 53 (플리),성수 아트/문화,한국,국내,,민들레마음의 팝업페어. 중증희귀난치질환 환아들과 그린 그림으로 디자인 제품을 만들고 판매 수익금 일부를 소아청소년 완화의료팀에 후원하는 소셜 벤처 팝업.,2023,"['https://blog.naver.com/sophialim28/223294504188', 'https://mindlemaum.com/portfolio-3/']"
1714,LG디스플레이,OLED Art Wave: Long Dream,아트/전시,,2023-10-28,2023-11-07,,성동구 연무장5길 20 (성수 쎈느),성수 아트/문화,한국,국내,,LG OLED ART WAVE 세 번째 프로젝트. OLED 캔버스에 펼쳐지는 생생한 빛과 색의 향연. 디지털 아트와 OLED 기술의 결합을 선보이는 팝업 전시.,2023,"['https://sleeping-gypsy.tistory.com/1291', 'https://blog.naver.com/eunicemin/223256431070']"
1715,성동문화재단,2023 성수 아트페어,아트페어,,2023-09-01,2023-09-30,,성동구 언더스탠드에비뉴 등,성수 아트/문화,한국,국내,,"2023 크리에이티브X성수 프로그램의 일환으로 진행된 성수 아트페어. 다양한 아티스트와 작품이 참여한 아트페어. 공예, 가구디자인, 회화, 팝아트, 리사이클 등 다양한 분야 전시.",2023,['https://www.creativexseongsu.co.kr/159']
1716,삼성전자,갤럭시 스튜디오 성수,테크/문화,,2023-02-04,2023-03-12,,성동구 연무장길 26 (베이직 스튜디오) 및 성수 일대 6개 장소,성수 아트/문화,한국,국내,,"갤럭시 S23 시리즈 체험형 팝업. 베이직 스튜디오 메인 거점 외 루프 베이커리, 텅 성수 스페이스 등 6개 장소에서 동시 운영. NFC 팔찌 포인트 적립 시스템, 포토부스, 개기일식 아트워크 'Eclipse', 나이토그래피 체험, 게이밍 존, 앤트맨 피규어 찾기 미션. 최정화 작가 설치 미술 <Cosmos>, <세기의 선물> 전시.",2023,"['https://blog.naver.com/the_edit_magazine/223718094257', 'https://v.daum.net/v/VSOqtoMT1v']"
1717,ADER ERROR x CONVERSE,Create Next: The new is not new,패션/문화,,2023-01-07,2023-01-08,,성동구 연무장길 (베이직 스튜디오),성수 아트/문화,한국,국내,,"아더에러와 컨버스의 첫 번째 글로벌 협업 팝업 전시. 'Create Next: The new is not new' 컬렉션 콘셉트로 크리에이티브 아트 전시, 뮤직 라이브 퍼포먼스, 커스텀 워크샵 등 다양한 프로그램. 뉴욕 베이스 작가 듀오 TIN&ED, 연진영, 박종진 작가 협업 작품 전시. 총 3개 층 5개 섹션 구성.",2023,"['https://www.beyondpost.co.kr/view.php?ud=202212291732379413992c130dbe_30', 'https://www.dailysecu.com/news/articleView.html?idxno=142500']"
1718,롯데칠성음료,새로 02-57 동굴,문화/체험,,2023-01-01,2023-12-31,,성동구 성수동 (성수 지하 공간),성수 아트/문화,한국,국내,,새로구미 출생지인 강릉 동대굴을 성수 지하 공간에 옮긴 콘셉트의 체험형 팝업. 새로구미의 세계관을 오프라인 공간에서 경험하는 인터랙티브 미디어 아트. 2023 대한민국광고대상 프로모션 부문 금상 수상. 동대굴 지번 257과 서울 지역번호 02를 합쳐 작명.,2023,['https://heypop.kr/n/134994/']
1719,뉴진스,뉴진스 팝업스토어,패션/문화,,2023-01-01,2023-12-31,,성동구 성수동,성수 아트/문화,한국,국내,,뉴진스의 팝업스토어. K-POP 아티스트 굿즈 및 콜라보 제품 판매. 성수에서 진행된 아이돌 팝업.,2023,['https://blog.naver.com/eunicemin/223301573155']
1720,성수동고릴라,성수동 팝업/전시 리스트 서비스,기타,,2023-01-01,2025-12-31,,성동구 성수동 일대,성수 아트/문화,한국,국내,,"성수동 팝업스토어, 전시, 행사 정보를 수집·제공하는 플랫폼. 월별 성수 팝업 리스트 발표. 패션, 뷰티, F&B, K-POP, 캐릭터, 라이프스타일 등 다양한 카테고리 커버.",2023,"['https://www.seongsudonggorilla.com/article/332', 'https://www.seongsudonggorilla.com/article/551']"
1721,팝업코리아,팝업코리아 성수 공간 대관 서비스,복합문화공간,,2023-01-01,2025-12-31,,성동구 성수동 연무장길 일대,성수 아트/문화,한국,국내,,팝업코리아의 성수동 팝업 공간 대관 플랫폼. 연무장길 등 성수 주요 상권의 다양한 팝업 공간 정보 제공 및 대관 중개 서비스.,2023,"['https://popupkorea.co.kr/popup_store/270', 'https://popupkorea.co.kr/']"
1722,CHUL,CHUL 복합문화공간 팝업 프로그램,복합문화공간,,2023-01-01,2025-12-31,,성동구 연무장17길 6,성수 아트/문화,한국,국내,,"성수동 복합문화공간 CHUL. 다양한 브랜드 팝업, 전시, 문화 행사 개최. 민들레마음 팝업, 아트 전시 등 다양한 문화 콘텐츠 진행.",2023,['https://www.startupn.kr/news/articleView.html?idxno=56733']
1723,언더스탠드에비뉴,언더스탠드에비뉴 아트/팝업 프로그램,복합문화공간,,2023-01-01,2025-12-31,,성동구 성수동,성수 아트/문화,한국,국내,,"성수 아트페어 주요 개최지. 아트스탠드, 소셜혁신랩 등 다양한 공간. 공예, 가구디자인, 회화, 팝아트, 리사이클 등 다양한 분야 전시. 성수아트페어, 크리에이티브X성수 등 주요 행사 개최.",2023,"['https://www.creativexseongsu.co.kr/art_s', 'https://www.creativexseongsu.co.kr/159']"
1724,LG디스플레이,OLED ART WAVE: Never Alone,아트/전시,,2022-11-01,2022-11-17,,성동구 연무장5길 20 (성수 쎈느),성수 아트/문화,한국,국내,,"OLED를 디지털 아트 캔버스로 활용한 전시. 류성실, 업체eobchae, 유니버셜에브리띵, 윤향로, 이은솔, 장진승 등 6팀 아티스트 참여. OLED의 완벽한 블랙과 투명 OLED 홀로그램 효과를 활용한 몰입형 작품 전시.",2022,"['https://www.sisaon.co.kr/news/articleView.html?idxno=144487', 'https://www.harpersbazaar.co.kr/article/72241']"
1725,파이롯트,소중한 말들 모음 사무소,아트/전시,,2022-10-01,2022-11-27,,성동구 연무장길 57,성수 아트/문화,일본,일본,,스테이셔너리 브랜드 파이롯트의 팝업스토어. 터키 블루 컬러의 인테리어와 아기자기한 소품. 다양한 필기구 구입 가능. 남긴 글귀 읽기와 나만의 글 쓰기 체험. 2023 미니 달력 선물 증정.,2022,['https://www.harpersbazaar.co.kr/article/72241']
1726,라인프렌즈,라인 프렌즈 월드 팝업 스토어,기타,,2022-10-01,2022-11-13,,성동구 성수일로4길 12,성수 아트/문화,한국,국내,,"라인 프렌즈 캐릭터 전체 집합 팝업. 미니니월드, BT21 베이스캠프, TRUZ 스위트랩 공간. 캐릭터 모티프 빵과 솜사탕, 푸드트럭 존. 금토일 한정 풍선 선물, 신제품 굿즈 최초 출시. 인생사진 스팟 다수.",2022,['https://www.harpersbazaar.co.kr/article/72241']
1727,디올,디올 성수,아트/전시,,2022-01-01,2022-12-31,,성동구 서연무장길,성수 아트/문화,프랑스,프랑스,,럭셔리 브랜드 디올의 대규모 매장 '디올 성수' 오픈. 고풍스럽고 화려한 유리 온실 외관으로 단숨에 인증샷 명소. 성수의 상징적 팝업/플래그십 공간으로 자리 잡음. 2022년 럭셔리 브랜드 성수 진출의 결정적 계기.,2022,['https://www.joongang.co.kr/article/25315804']
1728,베이직 스튜디오,베이직 스튜디오 팝업 프로그램,복합문화공간,,2022-01-01,2025-12-31,,성동구 연무장길 26,성수 아트/문화,한국,국내,,"성수 연무장길의 복합문화공간 베이직 스튜디오. 디지털 뮤지엄 콘셉트. 5개 디지털 사이니지 미디어월, LED 복합 메탈 선반. 디올 팝업, 아더에러x컨버스, 갤럭시 스튜디오 등 다양한 브랜드 팝업 진행.",2022,"['https://www.dailysecu.com/news/articleView.html?idxno=142500', 'https://triple.guide/attractions/0e109eff-edc4-4850-a844-9221b4fe7f9c']"
1729,LG디스플레이 x 피치스,OLED Art Wave: 힙의 발견,아트/전시,,2021-10-16,2021-11-14,,성동구 연무장3길 9 (피치스 도원),성수 아트/문화,한국,국내,,"LG디스플레이와 피치스의 협업 OLED 디지털 아트 전시. 65인치 OLED 패널 39장 설치. 자콜비 새터화이트, 람한, 유신애, 정희민, 버터컵 등 5명 국내외 아티스트 협업. OLED의 정확한 색 표현력을 활용한 디지털 아트 작품 전시.",2021,"['https://heypop.kr/n/15678/', 'https://sleeping-gypsy.tistory.com/1291']"
1730,피치스 도원 (D8NE),피치스 도원 팝업 프로그램,복합문화공간,,2021-01-01,2025-12-31,,성동구 연무장3길 9,성수 아트/문화,한국,국내,,"성수의 상징적 복합문화공간(700평). 갤러리, 카페, 바, 팝업/대관 전용 공간. AOMG, LG그램, 코카콜라, 반스, 플레이보이 등 다수 브랜드 콜라보. 2023년 8월 피치스도원 2.0 재오픈. 2025년 스위트스팟 스테이지 성수로 명칭 변경.",2021,"['https://heypop.kr/place/113481/', 'https://namu.wiki/w/Peaches.%20D8NE']"
1731,쎈느 (Scène),쎈느 팝업/전시 프로그램,복합문화공간,,2021-01-01,2025-12-31,,성동구 연무장5길 20,성수 아트/문화,한국,국내,,"성수동 카페거리 대형 카페이자 팝업스토어 임대공간. 1층 카페, 2층 편집샵. LG OLED Art Wave 전시, 서울라이프 팝업 등 다양한 문화 행사 개최. 성수 팝업의 명소로 자리잡음.",2021,"['https://heypop.kr/n/89117/', 'https://korean.visitseoul.net/etc-area/Scene/KOPut7t7t']"
1732,에스팩토리,에스팩토리 팝업/전시 프로그램,복합문화공간,,2020-01-01,2025-12-31,,성동구 연무장15길 11,성수 아트/문화,한국,국내,,"성수동 최대 규모(약 3,000평) 복합문화공간. 과거 공장을 리모델링. 광고 촬영, 명품 팝업스토어, 대규모 아트페어, 콘서트, 국제 컨퍼런스 등 다양한 행사. 오징어게임 팝업, 월드웹툰페스티벌, CT페어 등 진행.",2020,"['https://www.sfactory.co.kr/', 'https://artgram.kr/art-venue/sfactory/']"
1733,서울시(서울라이프),서울 굿즈 팝업스토어 in 성수쎈느,라이프스타일,,2024-02-01,2024-02-04,,서울특별시 성동구 연무장5길 20 쎈느(Scene),성수 복합문화,한국,국내,,"서울 브랜드 굿즈와 서울라면(국물/짜장)을 선보이는 팝업스토어. 1F 서울나이트존(LED 전시, 디저트), 2F 서울라이트존(퀴즈게임, 엽서 만들기, 포토존), 야외존(서울라면 시식회)으로 구성.",2024,"['https://culture.seoul.go.kr', 'https://mediahub.seoul.go.kr/archives/2010148']"
1734,세종문화회관,시어터 이즈 더 뉴 블랙 (THEATER IS THE NEW BLACK),공연/예술,,2024-05-17,2024-05-19,,서울특별시 성동구 성수동2가 Y173 복합문화공간,성수 복합문화,한국,국내,,"세종문화회관의 컨템포러리 시즌 '싱크 넥스트 24'를 알리는 국내 공공공연장 최초 팝업. 전시, 피켓팅 이벤트, 포스터 꾸미기, 우국원 작가 인터랙티브 미디어아트, 스탠딩 쇼 등 구성.",2024,"['https://www.joongang.co.kr/article/25250085', 'https://m.sedaily.com/amparticle/13890487']"
1735,러브이즈트루X캐릭캐릭체인지!,러브이즈트루 캐릭캐릭체인지! 콜라보 팝업,패션,,2025-09-04,2025-09-17,,서울특별시 성동구 성수이로 74 무신사 스토어 성수@대림창고,성수 복합문화,한국,국내,,"러브이즈트루와 애니메이션 캐릭캐릭체인지!의 협업 컬렉션 팝업. 14가지 협업 아이템(티셔츠, 후드집업, 모자, 케이프, 스카프 등) 선보임. 포토존과 사은품 증정 이벤트 운영.",2025,['https://www.musinsa.com/content/1409789381988122125']
1736,셀바티코,셀바티코 팝업스토어,뷰티,,2026-04-01,2026-05-31,,서울특별시 성동구 연무장17길 10 LCDC 서울 1층 DDMMYY,성수 복합문화,한국,국내,,셀바티코의 향수 및 바디케어 '레이어링 루틴' 체험 팝업. 신제품 핸드 솔루션 2종 선론칭. 도슨트 서비스 운영.,,['https://www.betanews.net/article/view/beta202604010007']
1737,킥플립,마이 퍼스트 킥 (My First Kick) 팝업,엔터테인먼트,,2026-04-01,2026-04-15,,서울특별시 성동구 연무장17길 10 LCDC 서울 복합문화공간,성수 복합문화,한국,국내,,보이그룹 킥플립(KickFlip)의 데뷔 기념 팝업스토어. 공식 MD 선보임.,,['https://www.ktnews.com/news/articleView.html?idxno=145109']
1738,헤트라스X번개장터,헤트라스X번개장터 플리마켓 팝업,라이프스타일,,2024-10-19,2024-10-19,,서울특별시 성동구 연무장17길 부스 Y173,성수 복합문화,한국,국내,,"헤트라스와 번개장터의 콜라보 플리마켓 팝업. 100% 당첨 이벤트, 퀴즈 이벤트(디퓨저 행 맞추기), 10월 생일 고객 서프라이즈 기프트 등 진행.",2024,['https://www.threads.com/@hetras.official/post/DBOKMvlS3z6']
1739,코튼푸드수퍼,코튼푸드수퍼 X 쎈느 팝업스토어,라이프스타일,,2025-08-20,2025-08-31,,서울특별시 성동구 연무장5길 20 쎈느(Scene) 2F,성수 복합문화,한국,국내,,코튼푸드 베스트셀러 키링부터 쿠션까지 다양한 상품을 만나볼 수 있는 팝업스토어.,2025,['https://cottonfood.co.kr/article/%EC%BD%94%ED%8A%BC%EC%9D%BC%EB%B3%B4/12/8296/']
1740,소상공인시장진흥공단,온누리상품권 팝업스토어,라이프스타일,,2025-09-19,2025-09-21,,서울특별시 성동구 연무장3길 9 피치스 도원(D8NE),성수 복합문화,한국,국내,,"온누리상품권 홍보 및 체험형 팝업스토어. 정책홍보존(온누리즈 캐릭터), 온누리이벤트존(QR코드 게임), 가맹점 체험존(낙원약과, 티각태각, 팡쇼과자점, 궁전제과) 운영.",2025,['https://www.busan.com/view/busan/view.php?code=2025091909231261468']
1741,X The League (XTL),엑스 더 리그 팝업 쇼,커머스/엔터테인먼트,,2026-05-10,2026-05-10,,서울특별시 성동구 에스팩토리(SFactory) D동,성수 복합문화,한국,국내,,"ENA와 라라스테이션 공동 제작 글로벌 커머스 프로젝트. 30개 이상 K-브랜드(파우치24, 비비랩, 뉴트리원, 종근당 등) 참여. 글로벌 MC 티파니 영과 뱀뱀 진행.",,"['https://www.mhns.co.kr/news/articleView.html?idxno=747012', 'https://www.segye.com/newsView/20260512515930']"
1742,이창섭X마플샵,이창섭의 상스러운 목욕탕 팝업스토어,엔터테인먼트,,2024-08-09,2024-08-18,,서울특별시 성동구 성수일로 47 마플샵 팝업스토어,성수 복합문화,한국,국내,,비투비 이창섭과 마플샵의 콜라보 팝업. 총 20종 굿즈 판매. 오프라인 단독 특별 선물과 기념 이벤트 진행.,2024,['https://www.abcn.kr/news/articleView.html?idxno=76358']
1743,민들레마음,민들레마음 팝업스토어,사회적기업/라이프스타일,,2026-03-05,2026-03-08,,서울특별시 성동구 성수동 복합문화공간 CHUL,성수 복합문화,한국,국내,,"희귀난치질환 환아('마음작가') 그림 전시 중심의 사회적 가치 기반 팝업. 인생세컷 포토존, 슈링클스 키링 제작 체험, 굿즈 할인 판매 운영.",,['https://www.startupn.kr/news/articleView.html?idxno=56733']
1744,K리그X산리오캐릭터즈,K리그X산리오 캐릭터즈 협업 팝업,스포츠/캐릭터,,2025-05-01,2025-05-31,,서울특별시 성동구 성수이로 74 무신사 스토어 성수@대림창고,성수 복합문화,한국,국내,,K리그와 산리오 캐릭터즈의 협업 팝업스토어.,2025,['https://www.fi.co.kr/mobile/view.asp?idx=86152']
1745,정샘물뷰티,정샘물 뷰티 '아트 스쿨' 팝업,뷰티,,2025-05-01,2025-05-31,,서울특별시 성동구 성수이로 74 무신사 스토어 성수@대림창고,성수 복합문화,한국,국내,,정샘물 뷰티의 '아트 스쿨' 컨셉 팝업스토어.,2025,['https://www.fi.co.kr/mobile/view.asp?idx=86152']
1746,투모로우바이투게더,투모로우바이투게더 '파인딩 모아' 팝업,엔터테인먼트,,2025-05-01,2025-05-31,,서울특별시 성동구 성수이로 74 무신사 스토어 성수@대림창고,성수 복합문화,한국,국내,,투모로우바이투게더(TXT) 캐릭터 뿔바투의 '파인딩 모아' 팝업스토어. 방문객 15만 명 이상 기록.,2025,['https://www.fi.co.kr/mobile/view.asp?idx=86152']
1747,꼼데가르송(CDGCDGCDG),CDGCDGCDG 성수 팝업스토어,패션,,2023-09-27,2023-12-31,,서울특별시 성동구 성수동 스테이지35 복합문화공간 1-2층,성수 복합문화,일본,일본,,꼼데가르송의 스트리트 캐주얼웨어 라인 CDGCDGCDG 단독 팝업. 약 40평 규모. 볼드한 타이포그래피 로고가 돋보이는 박스 형태 공간. 한국 익스클루시브 상품 최초 공개.,2023,['https://news.samsungcnt.com/ko/2023-09-%EA%BC%BC%EB%8D%B0%EA%B0%80%EB%A5%B4%EC%86%A1-cdgcdgcdg-%EC%84%B1%EC%88%98-%ED%8C%9D%EC%97%85-%EC%98%A4%ED%94%88/']
